"","UNQ_ID","CI","CYAN_Date","CI_Actual","CellCount"
"1","SLR_01",0,2016-04-25,6.30957344480193e-05,6309.57344480193
"2","SLR_10",0,2016-04-25,6.30957344480193e-05,6309.57344480193
"3","SLR_06",0,2016-04-25,6.30957344480193e-05,6309.57344480193
"4","SLR_05",0,2016-04-25,6.30957344480193e-05,6309.57344480193
"5","SLR_04",0,2016-04-25,6.30957344480193e-05,6309.57344480193
"6","SLR_03",0,2016-04-25,6.30957344480193e-05,6309.57344480193
"7","SLR_02",0,2016-04-25,6.30957344480193e-05,6309.57344480193
"8","SLR_01",0,2016-04-29,6.30957344480193e-05,6309.57344480193
"9","SLR_10",0,2016-04-29,6.30957344480193e-05,6309.57344480193
"10","SLR_09",0,2016-04-29,6.30957344480193e-05,6309.57344480193
"11","SLR_08",0,2016-04-29,6.30957344480193e-05,6309.57344480193
"12","SLR_07",0,2016-04-29,6.30957344480193e-05,6309.57344480193
"13","SLR_06",0,2016-04-29,6.30957344480193e-05,6309.57344480193
"14","SLR_05",0,2016-04-29,6.30957344480193e-05,6309.57344480193
"15","SLR_04",0,2016-04-29,6.30957344480193e-05,6309.57344480193
"16","SLR_03",0,2016-04-29,6.30957344480193e-05,6309.57344480193
"17","SLR_02",0,2016-04-29,6.30957344480193e-05,6309.57344480193
"18","SLR_01",0,2016-04-30,6.30957344480193e-05,6309.57344480193
"19","SLR_10",0,2016-04-30,6.30957344480193e-05,6309.57344480193
"20","SLR_09",0,2016-04-30,6.30957344480193e-05,6309.57344480193
"21","SLR_08",0,2016-04-30,6.30957344480193e-05,6309.57344480193
"22","SLR_07",0,2016-04-30,6.30957344480193e-05,6309.57344480193
"23","SLR_06",0,2016-04-30,6.30957344480193e-05,6309.57344480193
"24","SLR_05",0,2016-04-30,6.30957344480193e-05,6309.57344480193
"25","SLR_04",0,2016-04-30,6.30957344480193e-05,6309.57344480193
"26","SLR_03",0,2016-04-30,6.30957344480193e-05,6309.57344480193
"27","SLR_02",0,2016-04-30,6.30957344480193e-05,6309.57344480193
"28","SLR_01",0,2016-05-08,6.30957344480193e-05,6309.57344480193
"29","SLR_10",0,2016-05-08,6.30957344480193e-05,6309.57344480193
"30","SLR_09",0,2016-05-08,6.30957344480193e-05,6309.57344480193
"31","SLR_08",0,2016-05-08,6.30957344480193e-05,6309.57344480193
"32","SLR_07",0,2016-05-08,6.30957344480193e-05,6309.57344480193
"33","SLR_06",0,2016-05-08,6.30957344480193e-05,6309.57344480193
"34","SLR_05",0,2016-05-08,6.30957344480193e-05,6309.57344480193
"35","SLR_04",0,2016-05-08,6.30957344480193e-05,6309.57344480193
"36","SLR_03",0,2016-05-08,6.30957344480193e-05,6309.57344480193
"37","SLR_02",0,2016-05-08,6.30957344480193e-05,6309.57344480193
"38","SLR_01",0,2016-05-10,6.30957344480193e-05,6309.57344480193
"39","SLR_09",0,2016-05-10,6.30957344480193e-05,6309.57344480193
"40","SLR_08",0,2016-05-10,6.30957344480193e-05,6309.57344480193
"41","SLR_07",0,2016-05-10,6.30957344480193e-05,6309.57344480193
"42","SLR_06",0,2016-05-10,6.30957344480193e-05,6309.57344480193
"43","SLR_05",0,2016-05-10,6.30957344480193e-05,6309.57344480193
"44","SLR_04",0,2016-05-10,6.30957344480193e-05,6309.57344480193
"45","SLR_03",0,2016-05-10,6.30957344480193e-05,6309.57344480193
"46","SLR_02",0,2016-05-10,6.30957344480193e-05,6309.57344480193
"47","SLR_01",0,2016-05-11,6.30957344480193e-05,6309.57344480193
"48","SLR_10",0,2016-05-11,6.30957344480193e-05,6309.57344480193
"49","SLR_09",0,2016-05-11,6.30957344480193e-05,6309.57344480193
"50","SLR_08",0,2016-05-11,6.30957344480193e-05,6309.57344480193
"51","SLR_07",0,2016-05-11,6.30957344480193e-05,6309.57344480193
"52","SLR_06",0,2016-05-11,6.30957344480193e-05,6309.57344480193
"53","SLR_05",0,2016-05-11,6.30957344480193e-05,6309.57344480193
"54","SLR_04",0,2016-05-11,6.30957344480193e-05,6309.57344480193
"55","SLR_03",0,2016-05-11,6.30957344480193e-05,6309.57344480193
"56","SLR_02",0,2016-05-11,6.30957344480193e-05,6309.57344480193
"57","SLR_01",0,2016-05-12,6.30957344480193e-05,6309.57344480193
"58","SLR_10",0,2016-05-12,6.30957344480193e-05,6309.57344480193
"59","SLR_09",0,2016-05-12,6.30957344480193e-05,6309.57344480193
"60","SLR_07",0,2016-05-12,6.30957344480193e-05,6309.57344480193
"61","SLR_06",0,2016-05-12,6.30957344480193e-05,6309.57344480193
"62","SLR_05",0,2016-05-12,6.30957344480193e-05,6309.57344480193
"63","SLR_04",0,2016-05-12,6.30957344480193e-05,6309.57344480193
"64","SLR_03",0,2016-05-12,6.30957344480193e-05,6309.57344480193
"65","SLR_02",0,2016-05-12,6.30957344480193e-05,6309.57344480193
"66","SLR_07",0,2016-05-14,6.30957344480193e-05,6309.57344480193
"67","SLR_06",0,2016-05-14,6.30957344480193e-05,6309.57344480193
"68","SLR_01",0,2016-05-15,6.30957344480193e-05,6309.57344480193
"69","SLR_10",0,2016-05-15,6.30957344480193e-05,6309.57344480193
"70","SLR_09",0,2016-05-15,6.30957344480193e-05,6309.57344480193
"71","SLR_08",0,2016-05-15,6.30957344480193e-05,6309.57344480193
"72","SLR_07",0,2016-05-15,6.30957344480193e-05,6309.57344480193
"73","SLR_06",0,2016-05-15,6.30957344480193e-05,6309.57344480193
"74","SLR_05",0,2016-05-15,6.30957344480193e-05,6309.57344480193
"75","SLR_04",0,2016-05-15,6.30957344480193e-05,6309.57344480193
"76","SLR_03",0,2016-05-15,6.30957344480193e-05,6309.57344480193
"77","SLR_02",0,2016-05-15,6.30957344480193e-05,6309.57344480193
"78","SLR_01",0,2016-05-16,6.30957344480193e-05,6309.57344480193
"79","SLR_10",0,2016-05-16,6.30957344480193e-05,6309.57344480193
"80","SLR_09",0,2016-05-16,6.30957344480193e-05,6309.57344480193
"81","SLR_08",0,2016-05-16,6.30957344480193e-05,6309.57344480193
"82","SLR_07",0,2016-05-16,6.30957344480193e-05,6309.57344480193
"83","SLR_06",0,2016-05-16,6.30957344480193e-05,6309.57344480193
"84","SLR_05",0,2016-05-16,6.30957344480193e-05,6309.57344480193
"85","SLR_04",0,2016-05-16,6.30957344480193e-05,6309.57344480193
"86","SLR_03",0,2016-05-16,6.30957344480193e-05,6309.57344480193
"87","SLR_02",0,2016-05-16,6.30957344480193e-05,6309.57344480193
"88","SLR_01",0,2016-05-18,6.30957344480193e-05,6309.57344480193
"89","SLR_10",0,2016-05-18,6.30957344480193e-05,6309.57344480193
"90","SLR_09",0,2016-05-18,6.30957344480193e-05,6309.57344480193
"91","SLR_08",0,2016-05-18,6.30957344480193e-05,6309.57344480193
"92","SLR_07",0,2016-05-18,6.30957344480193e-05,6309.57344480193
"93","SLR_06",0,2016-05-18,6.30957344480193e-05,6309.57344480193
"94","SLR_05",0,2016-05-18,6.30957344480193e-05,6309.57344480193
"95","SLR_04",0,2016-05-18,6.30957344480193e-05,6309.57344480193
"96","SLR_03",0,2016-05-18,6.30957344480193e-05,6309.57344480193
"97","SLR_02",0,2016-05-18,6.30957344480193e-05,6309.57344480193
"98","SLR_01",0,2016-05-22,6.30957344480193e-05,6309.57344480193
"99","SLR_10",0,2016-05-22,6.30957344480193e-05,6309.57344480193
"100","SLR_09",0,2016-05-22,6.30957344480193e-05,6309.57344480193
"101","SLR_08",0,2016-05-22,6.30957344480193e-05,6309.57344480193
"102","SLR_07",0,2016-05-22,6.30957344480193e-05,6309.57344480193
"103","SLR_06",0,2016-05-22,6.30957344480193e-05,6309.57344480193
"104","SLR_05",0,2016-05-22,6.30957344480193e-05,6309.57344480193
"105","SLR_04",0,2016-05-22,6.30957344480193e-05,6309.57344480193
"106","SLR_03",0,2016-05-22,6.30957344480193e-05,6309.57344480193
